county,constituency,ward,station,source,source_date
NAIROBI CITY,WESTLANDS,KITISURU,KABETE VETLAB PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KITISURU,ST MARTIN S SCHOOL KIBAGARE,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KITISURU,LORESHO PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KITISURU,FARASI LANE PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KITISURU,LOWER KABETE PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KITISURU,KABETE REHABILITATION CENTRE,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,MUGUGA GREEN PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,BHORA PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,WESTLANDS PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,VISA OSHWAL PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,HOSPITAL HILL PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,HIGHRIDGE PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,NORTH HIGHRIDGE PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,CITY PARK MARKET,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,KARURA FOREST PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,CHELETA PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,MJI WA HURUMA,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,KENYA TEACHERS TECHNICAL COLLEGE,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KARURA,HOSPITAL HILL HIGH SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KANGEMI,KIHUMBUINI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KANGEMI,NEW KIHUMBUINI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,KANGEMI,KANGEMI SOCIAL HALL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,KABETE TECHNICAL TRAINING INSTITUTE,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,ST JOSEPH PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,KANGEMI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,KANGEMI SECONDARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,NAIROBI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,ST GEORGE S PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,KILIMANI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,MILIMANI PRIMARY SCHOOL,IEBC registration centres page,2026-05-21
